ID,Date,Sex,SVL,Latitude,Location,Treatment,Pant,CTmax,Pant 2,CTmax 2,Notes
Ansa23223,8/23/23,F,41,Mid,Oak Hammock Park,PPB,38,36.7,,,
Ansa23214,8/23/23,M,49,Mid,Oak Hammock Park,PP,38.4,37.5,38.3,37.2,
Ansa23123,8/3/23,M,44,South,MMC,PPB,36.7,37.8,,,
Ansa23263,9/7/23,F,42,North,Touchton Park,PP,37.1,37.9,39.5,40.8,
Ansa23197,8/23/23,F,45,Mid,Oak Hammock Park,PP,38.9,38,39.5,39.5,
Ansa23273,9/7/23,F,44,North,Merrill Lynch,PP,38,38.1,38.3,41,
Ansa23278,9/7/23,M,45,North,St. John's Plaza,PP,38.4,38.2,,42.3,
Ansa23318,9/12/23,F,40,Mid,Oak Hammock Park,PP,37.8,38.3,39.1,39.3,
Ansa23218,8/23/23,M,43,Mid,Oak Hammock Park,PP,37.9,38.5,39.8,39.8,
Ansa23297,9/12/23,F,43,Mid,Oak Hammock Park,PP,36.8,38.5,37.1,37.1,
Ansa23182,8/23/23,M,55,Mid,Oak Hammock Park,PPB,37.8,38.5,,,
Ansa23149,8/3/23,F,40,South,MMC,PPB,39.3,38.6,,,
Ansa23301,9/12/23,M,57,Mid,Oak Hammock Park,PPB,38.5,38.7,,,
Ansa23366,9/15/23,M,63,North,Reddie Pointe Park,PP,,38.8,,41.7,Didn't pant
Ansa23158,8/7/23,F,43,South,MMC,PP,36.5,38.9,35.5,37.9,
Ansa23177,8/23/23,F,,Mid,Oak Hammock Park,PP,38.9,38.9,37.2,38.3,
Ansa23122,8/3/23,F,35,South,MMC,PPB,38,38.9,,,
Ansa23203,8/23/23,F,44,Mid,Oak Hammock Park,PPB,40,38.9,,,
Ansa23310,9/12/23,F,38,Mid,Apache Park,PPB,38.3,38.9,,,
Ansa23207,8/23/23,M,,Mid,Oak Hammock Park,PP,40.8,39,38.8,39.4,
Ansa23326,9/12/23,F,47,Mid,Apache Park,PP,36.7,39,38.6,39.4,
Ansa23173,8/7/23,F,39,South,MMC,PP,38.9,39.1,38.4,38.2,
Ansa23190,8/23/23,F,45,Mid,Oak Hammock Park,PP,37.8,39.1,38.1,39.2,
Ansa23279,9/7/23,M,41,North,St. John's Plaza,PP,39.1,39.1,40.7,40.2,Marked as female on the dissection sheet
Ansa23298,9/12/23,M,54,Mid,Oak Hammock Park,PPB,37.4,39.1,,,
Ansa23388,9/15/23,F,47,North,Jacksonville Disk Golf,PP,37.8,39.2,39.3,39,
Ansa23136,8/3/23,F,41,South,MMC,PPB,36.9,39.2,,,
Ansa23189,8/23/23,M,53,Mid,Oak Hammock Park,PPB,37.2,39.2,,,
Ansa23269,9/7/23,F,46,North,Touchton Park,PPB,37.5,39.2,,,
Ansa23323,9/12/23,M,45,Mid,Apache Park,PPB,38.1,39.2,,,
Ansa23194,8/23/23,F,49,Mid,Oak Hammock Park,PP,40.3,39.3,40.3,40.9,
Ansa23327,9/12/23,F,46,Mid,Apache Park,PP,36,39.3,38.5,40.2,
Ansa23147,8/3/23,F,44,South,MMC,PPB,36.6,39.3,,,
Ansa23391,9/15/23,F,38,North,Jacksonville Disk Golf,PP,38.5,39.4,39.3,39.8,
Ansa23285,9/7/23,F,,North,St. John's Plaza,PPB,37.9,39.4,,,
Ansa23325,9/12/23,F,44,Mid,Apache Park,PPB,38.9,39.4,,,
Ansa23110,8/3/23,M,56,South,MMC,PPB,37.2,39.5,,,
Ansa23120,8/3/23,M,48,South,MMC,PPB,40.5,39.5,,,
Ansa23148,8/3/23,F,43,South,MMC,PPB,38.2,39.5,,,
Ansa23180,8/23/23,F,42,Mid,Oak Hammock Park,PPB,,39.5,,,
